product_id,product_name,category_id,seller_id,price,cost_price,stock_qty,discount_pct,asin,status,weight_kg,rating,description
33,Seiko 5 Automatic Watch,10,7,249,130,180,0,ASIN-B0752WQRJK,Active,0.18,4.7,Seiko 5 Sports automatic watch
34,Instant Pot Duo 7-in-1 6Qt,12,3,99.95,52,620,22,ASIN-B00FLYWNYQ,Active,5.44,4.7,Instant Pot Duo 7-in-1 electric pressure cooker
35,Ninja Foodi Air Fryer XL,12,3,199,108,380,15,ASIN-B0932D4YHY,Active,7.03,4.6,Ninja Foodi 6-in-1 8-qt XL 2-basket air fryer
36,KitchenAid Stand Mixer 5Qt,12,3,449,268,220,10,ASIN-B00005UP2P,Active,11.79,4.8,KitchenAid Artisan 5-Qt tilt-head stand mixer
37,Dyson V15 Detect Vacuum,12,3,699,428,160,5,ASIN-B08TKF5XWR,Active,2.65,4.7,Dyson V15 Detect cordless vacuum cleaner
38,Nespresso Vertuo Next Coffee,12,3,179,95,340,12,ASIN-B085DPFZR6,Active,4.08,4.5,Nespresso Vertuo Next coffee and espresso maker
39,IKEA MALM 6-Drawer Dresser,13,3,329,185,95,0,ASIN-B07VQY1WGH,Active,40,4.3,IKEA MALM 6-drawer dresser in white
40,West Elm Andes Sofa,13,3,1599,890,45,8,ASIN-B0BZHVF2KQ,Active,56,4.5,West Elm Andes deep-seat sofa in velvet
41,Atomic Habits - James Clear,15,4,14.99,4.5,2000,0,ASIN-0735211299,Active,0.43,4.9,Atomic Habits: An Easy & Proven Way to Build Good Habits
42,The Psychology of Money,15,4,12.99,3.8,1800,0,ASIN-0857197681,Active,0.39,4.8,The Psychology of Money by Morgan Housel
43,Deep Work - Cal Newport,15,4,15.99,4.9,1400,5,ASIN-1455586692,Active,0.41,4.7,Deep Work: Rules for Focused Success in a Distracted World
44,Zero to One - Peter Thiel,15,4,13.99,4.2,1600,0,ASIN-0804139296,Active,0.36,4.8,Zero to One by Peter Thiel
45,Peloton Bike+ Smart Exercise,16,5,2495,1680,40,0,ASIN-B08J8S5F9Z,Active,56.7,4.5,Peloton Bike+ with rotating touchscreen
46,Bowflex SelectTech 552 Dumbbells,16,5,349,195,220,8,ASIN-B001ARYU58,Active,18.14,4.8,Bowflex SelectTech 552 adjustable dumbbells pair
47,Manduka PRO Yoga Mat,16,5,120,55,480,5,ASIN-B001IDNBAU,Active,2.95,4.8,Manduka PRO 6mm yoga mat lifetime guarantee
48,Fitbit Charge 6,16,5,149.99,82,380,10,ASIN-B0CCX2V37G,Active,0.03,4.4,Fitbit Charge 6 fitness and health tracker
49,Dyson Airwrap Complete Styler,18,9,599,368,280,0,ASIN-B09KWKX74F,Active,1.38,4.7,Dyson Airwrap multi-styler and dryer complete
50,La Mer Moisturizing Cream 2oz,18,9,345,120,190,0,ASIN-B0000T68U2,Active,0.24,4.8,La Mer The Moisturizing Cream 2 oz
51,Optimum Nutrition Gold Whey 5lb,19,11,54.99,28,850,12,ASIN-B000QSTBNS,Active,2.27,4.7,ON Gold Standard 100% Whey Protein Powder
52,Bulletproof Original Coffee 12oz,19,11,17.99,8.5,1100,5,ASIN-B01GEEK1EC,Active,0.34,4.5,Bulletproof The Original Ground Coffee medium roast
53,DEWALT 20V MAX Drill Combo Kit,20,10,199,108,320,15,ASIN-B0109CF5MC,Active,4.99,4.8,DEWALT 20V MAX drill/driver combo kit
54,Anker 67W USB-C Car Charger,20,10,35.99,14,1200,8,ASIN-B0C2C6DPHN,Active,0.12,4.6,Anker 67W USB-C fast car charger dual port
55,LEGO Technic Bugatti Bolide,17,8,469.99,268,180,5,ASIN-B09JBJ5VGM,Active,1.32,4.9,LEGO Technic Bugatti Bolide 905-piece set
56,Barbie Dreamhouse 2023,17,8,199.99,108,240,10,ASIN-B0BQZR61GH,Active,2.63,4.6,Barbie Dreamhouse 3-story dollhouse
57,[DISCONTINUED] Old Kindle Model,3,12,0,0,0,0,,Inactive,,,No longer sold
